Wavelength;Raw data #1
299.7;0
300.1;0
300.49;0
300.88;0
301.27;0
301.67;0
302.06;0
302.45;0
302.84;0
303.23;0
303.63;0
304.02;0
304.41;0
304.8;0
305.19;58
305.59;15
305.98;0
306.37;0
306.76;87
307.15;0
307.55;0
307.94;77
308.33;13
308.72;0
309.11;0
309.51;0
309.9;0
310.29;0
310.68;0
311.07;23
311.47;79
311.86;140
312.25;29
312.64;111
313.03;188
313.42;174
313.82;95
314.21;122
314.6;184
314.99;183
315.38;232
315.77;240
316.17;165
316.56;174
316.95;585
317.34;328
317.73;162
318.12;260
318.51;232
318.91;141
319.3;174
319.69;169
320.08;167
320.47;140
320.86;249
321.25;449
321.65;300
322.04;240
322.43;164
322.82;231
323.21;136
323.6;159
323.99;143
324.39;287
324.78;178
325.17;162
325.56;182
325.95;274
326.34;323
326.73;192
327.12;135
327.51;194
327.91;162
328.3;108
328.69;133
329.08;186
329.47;216
329.86;181
330.25;208
330.64;206
331.03;289
331.42;244
331.82;408
332.21;162
332.6;115
332.99;254
333.38;214
333.77;189
334.16;162
334.55;270
334.94;119
335.33;90
335.72;205
336.11;206
336.5;193
336.89;81
337.29;93
337.68;177
338.07;103
338.46;122
338.85;204
339.24;178
339.63;159
340.02;199
340.41;141
340.8;231
341.19;322
341.58;198
341.97;173
342.36;306
342.75;280
343.14;227
343.53;244
343.92;180
344.31;241
344.7;292
345.09;251
345.48;251
345.87;167
346.26;409
346.65;301
347.04;341
347.43;244
347.83;355
348.22;325
348.61;300
349;287
349.39;274
349.78;361
350.17;371
350.56;395
350.95;274
351.34;286
351.73;347
352.11;291
352.5;372
352.89;330
353.28;389
353.67;385
354.06;302
354.45;308
354.84;276
355.23;170
355.62;251
356.01;338
356.4;255
356.79;340
357.18;202
357.57;351
357.96;252
358.35;226
358.74;424
359.13;312
359.52;230
359.91;268
360.3;357
360.69;307
361.08;202
361.47;256
361.86;216
362.24;222
362.63;253
363.02;303
363.41;339
363.8;354
364.19;286
364.58;264
364.97;222
365.36;236
365.75;309
366.14;308
366.53;243
366.92;212
367.3;133
367.69;377
368.08;174
368.47;242
368.86;211
369.25;161
369.64;324
370.03;452
370.42;205
370.81;264
371.19;267
371.58;197
371.97;196
372.36;223
372.75;235
373.14;195
373.53;218
373.92;275
374.3;247
374.69;420
375.08;266
375.47;352
375.86;181
376.25;222
376.64;313
377.02;198
377.41;252
377.8;252
378.19;288
378.58;260
378.97;282
379.36;237
379.74;374
380.13;236
380.52;357
380.91;417
381.3;197
381.69;374
382.07;205
382.46;270
382.85;352
383.24;333
383.63;234
384.01;312
384.4;347
384.79;336
385.18;360
385.57;302
385.96;340
386.34;317
386.73;468
387.12;460
387.51;449
387.9;282
388.28;401
388.67;452
389.06;318
389.45;332
389.83;371
390.22;335
390.61;330
391;358
391.39;392
391.77;305
392.16;306
392.55;321
392.94;353
393.32;341
393.71;311
394.1;281
394.49;340
394.87;412
395.26;276
395.65;316
396.04;362
396.42;285
396.81;296
397.2;350
397.59;341
397.97;322
398.36;356
398.75;257
399.14;254
399.52;329
399.91;289
400.3;304
400.68;337
401.07;238
401.46;264
401.85;353
402.23;204
402.62;232
403.01;241
403.39;181
403.78;327
404.17;316
404.55;244
404.94;286
405.33;235
405.71;322
406.1;367
406.49;280
406.88;211
407.26;176
407.65;228
408.04;256
408.42;306
408.81;249
409.2;295
409.58;274
409.97;263
410.36;534
410.74;300
411.13;230
411.51;269
411.9;314
412.29;264
412.67;329
413.06;410
413.45;385
413.83;295
414.22;300
414.61;303
414.99;400
415.38;278
415.76;314
416.15;295
416.54;256
416.92;322
417.31;375
417.7;331
418.08;342
418.47;319
418.85;256
419.24;247
419.63;365
420.01;408
420.4;263
420.78;186
421.17;249
421.55;315
421.94;277
422.33;256
422.71;270
423.1;310
423.48;281
423.87;240
424.25;296
424.64;218
425.03;393
425.41;278
425.8;219
426.18;233
426.57;260
426.95;252
427.34;309
427.72;380
428.11;321
428.5;277
428.88;274
429.27;293
429.65;355
430.04;384
430.42;336
430.81;351
431.19;277
431.58;188
431.96;201
432.35;273
432.73;442
433.12;404
433.5;352
433.89;301
434.27;281
434.66;476
435.04;369
435.43;441
435.81;287
436.2;318
436.58;306
436.97;480
437.35;272
437.74;300
438.12;399
438.51;371
438.89;343
439.28;379
439.66;328
440.05;289
440.43;266
440.81;364
441.2;366
441.58;334
441.97;336
442.35;387
442.74;388
443.12;330
443.51;298
443.89;300
444.27;665
444.66;535
445.04;343
445.43;395
445.81;307
446.2;356
446.58;298
446.96;424
447.35;340
447.73;352
448.12;281
448.5;344
448.88;319
449.27;357
449.65;443
450.04;338
450.42;373
450.8;334
451.19;312
451.57;359
451.95;413
452.34;357
452.72;325
453.11;307
453.49;342
453.87;413
454.26;328
454.64;406
455.02;335
455.41;374
455.79;394
456.17;341
456.56;323
456.94;323
457.32;227
457.71;313
458.09;509
458.47;360
458.86;419
459.24;278
459.62;342
460.01;253
460.39;287
460.77;352
461.16;260
461.54;329
461.92;304
462.31;310
462.69;345
463.07;357
463.45;348
463.84;263
464.22;238
464.6;325
464.99;291
465.37;226
465.75;325
466.13;337
466.52;434
466.9;298
467.28;299
467.66;366
468.05;327
