Wavelength;Raw data #1
299.7;0
300.1;0
300.49;0
300.88;0
301.27;0
301.67;0
302.06;0
302.45;0
302.84;0
303.23;0
303.63;0
304.02;0
304.41;0
304.8;0
305.19;27
305.59;22
305.98;0
306.37;21
306.76;35
307.15;0
307.55;0
307.94;116
308.33;16
308.72;0
309.11;0
309.51;51
309.9;0
310.29;0
310.68;0
311.07;16
311.47;163
311.86;168
312.25;45
312.64;33
313.03;46
313.42;72
313.82;9
314.21;80
314.6;96
314.99;68
315.38;145
315.77;101
316.17;44
316.56;118
316.95;557
317.34;249
317.73;142
318.12;160
318.51;82
318.91;55
319.3;129
319.69;68
320.08;86
320.47;71
320.86;215
321.25;352
321.65;226
322.04;175
322.43;116
322.82;189
323.21;68
323.6;148
323.99;108
324.39;226
324.78;69
325.17;58
325.56;130
325.95;158
326.34;209
326.73;159
327.12;57
327.51;68
327.91;59
328.3;42
328.69;60
329.08;113
329.47;96
329.86;42
330.25;68
330.64;149
331.03;119
331.42;171
331.82;242
332.21;62
332.6;105
332.99;122
333.38;100
333.77;80
334.16;119
334.55;154
334.94;43
335.33;0
335.72;142
336.11;98
336.5;86
336.89;69
337.29;27
337.68;29
338.07;65
338.46;42
338.85;67
339.24;153
339.63;109
340.02;104
340.41;69
340.8;157
341.19;194
341.58;38
341.97;70
342.36;255
342.75;149
343.14;99
343.53;62
343.92;27
344.31;156
344.7;191
345.09;144
345.48;73
345.87;83
346.26;248
346.65;140
347.04;136
347.43;184
347.83;176
348.22;189
348.61;178
349;211
349.39;129
349.78;168
350.17;177
350.56;211
350.95;157
351.34;122
351.73;117
352.11;185
352.5;181
352.89;170
353.28;190
353.67;250
354.06;84
354.45;152
354.84;148
355.23;73
355.62;161
356.01;207
356.4;88
356.79;256
357.18;96
357.57;200
357.96;141
358.35;136
358.74;208
359.13;200
359.52;112
359.91;116
360.3;211
360.69;165
361.08;125
361.47;78
361.86;56
362.24;114
362.63;143
363.02;77
363.41;173
363.8;245
364.19;156
364.58;136
364.97;82
365.36;54
365.75;231
366.14;42
366.53;69
366.92;116
367.3;98
367.69;195
368.08;49
368.47;125
368.86;99
369.25;8
369.64;163
370.03;281
370.42;60
370.81;104
371.19;66
371.58;93
371.97;49
372.36;98
372.75;111
373.14;60
373.53;82
373.92;191
374.3;121
374.69;241
375.08;117
375.47;198
375.86;88
376.25;80
376.64;73
377.02;64
377.41;136
377.8;148
378.19;63
378.58;142
378.97;164
379.36;99
379.74;188
380.13;76
380.52;263
380.91;288
381.3;101
381.69;196
382.07;109
382.46;153
382.85;150
383.24;135
383.63;119
384.01;83
384.4;184
384.79;138
385.18;104
385.57;133
385.96;154
386.34;176
386.73;246
387.12;183
387.51;275
387.9;125
388.28;152
388.67;297
389.06;133
389.45;138
389.83;158
390.22;49
390.61;178
391;139
391.39;170
391.77;231
392.16;129
392.55;67
392.94;153
393.32;168
393.71;93
394.1;107
394.49;183
394.87;163
395.26;92
395.65;98
396.04;157
396.42;85
396.81;134
397.2;189
397.59;229
397.97;183
398.36;186
398.75;60
399.14;109
399.52;174
399.91;103
400.3;156
400.68;216
401.07;31
401.46;96
401.85;202
402.23;120
402.62;128
403.01;49
403.39;89
403.78;198
404.17;172
404.55;66
404.94;67
405.33;117
405.71;124
406.1;137
406.49;158
406.88;140
407.26;31
407.65;98
408.04;108
408.42;48
408.81;97
409.2;84
409.58;101
409.97;118
410.36;374
410.74;118
411.13;90
411.51;133
411.9;173
412.29;91
412.67;159
413.06;231
413.45;146
413.83;130
414.22;177
414.61;220
414.99;152
415.38;77
415.76;179
416.15;126
416.54;72
416.92;116
417.31;227
417.7;142
418.08;143
418.47;130
418.85;127
419.24;143
419.63;160
420.01;187
420.4;152
420.78;42
421.17;32
421.55;194
421.94;115
422.33;114
422.71;126
423.1;113
423.48;68
423.87;109
424.25;105
424.64;100
425.03;213
425.41;61
425.8;76
426.18;86
426.57;139
426.95;73
427.34;128
427.72;243
428.11;101
428.5;107
428.88;70
429.27;136
429.65;198
430.04;100
430.42;168
430.81;193
431.19;189
431.58;79
431.96;64
432.35;65
432.73;228
433.12;184
433.5;136
433.89;97
434.27;125
434.66;248
435.04;104
435.43;263
435.81;82
436.2;108
436.58;128
436.97;328
437.35;138
437.74;103
438.12;128
438.51;158
438.89;203
439.28;245
439.66;149
440.05;109
440.43;168
440.81;147
441.2;31
441.58;106
441.97;222
442.35;199
442.74;220
443.12;163
443.51;34
443.89;92
444.27;435
444.66;377
445.04;175
445.43;201
445.81;159
446.2;92
446.58;137
446.96;178
447.35;150
447.73;156
448.12;168
448.5;125
448.88;32
449.27;194
449.65;218
450.04;207
450.42;200
450.8;203
451.19;139
451.57;130
451.95;130
452.34;188
452.72;209
453.11;135
453.49;140
453.87;209
454.26;135
454.64;144
455.02;145
455.41;247
455.79;154
456.17;154
456.56;134
456.94;104
457.32;102
457.71;141
458.09;290
458.47;133
458.86;249
459.24;81
459.62;129
460.01;114
460.39;91
460.77;75
461.16;88
461.54;148
461.92;130
462.31;178
462.69;129
463.07;165
463.45;139
463.84;114
464.22;99
464.6;229
464.99;121
465.37;94
465.75;107
466.13;104
466.52;222
466.9;134
467.28;87
467.66;231
468.05;131
