Wavelength;Raw data #1
299.7;0
300.1;0
300.49;0
300.88;0
301.27;0
301.67;0
302.06;0
302.45;0
302.84;0
303.23;0
303.63;0
304.02;0
304.41;0
304.8;0
305.19;18
305.59;56
305.98;0
306.37;60
306.76;95
307.15;0
307.55;0
307.94;22
308.33;94
308.72;0
309.11;0
309.51;28
309.9;0
310.29;42
310.68;0
311.07;0
311.47;132
311.86;266
312.25;131
312.64;54
313.03;45
313.42;109
313.82;0
314.21;14
314.6;92
314.99;16
315.38;119
315.77;75
316.17;47
316.56;128
316.95;551
317.34;267
317.73;54
318.12;109
318.51;92
318.91;0
319.3;108
319.69;88
320.08;85
320.47;43
320.86;212
321.25;289
321.65;214
322.04;142
322.43;83
322.82;124
323.21;39
323.6;133
323.99;0
324.39;124
324.78;49
325.17;0
325.56;99
325.95;154
326.34;280
326.73;151
327.12;32
327.51;62
327.91;53
328.3;57
328.69;21
329.08;45
329.47;49
329.86;51
330.25;42
330.64;135
331.03;77
331.42;101
331.82;259
332.21;0
332.6;46
332.99;96
333.38;67
333.77;58
334.16;18
334.55;83
334.94;0
335.33;0
335.72;126
336.11;54
336.5;77
336.89;58
337.29;0
337.68;2
338.07;62
338.46;31
338.85;0
339.24;51
339.63;0
340.02;106
340.41;50
340.8;144
341.19;192
341.58;38
341.97;0
342.36;160
342.75;111
343.14;119
343.53;57
343.92;0
344.31;148
344.7;53
345.09;71
345.48;55
345.87;31
346.26;188
346.65;0
347.04;47
347.43;96
347.83;178
348.22;102
348.61;89
349;150
349.39;58
349.78;66
350.17;111
350.56;201
350.95;81
351.34;41
351.73;44
352.11;94
352.5;136
352.89;46
353.28;143
353.67;126
354.06;36
354.45;135
354.84;129
355.23;0
355.62;0
356.01;100
356.4;72
356.79;190
357.18;0
357.57;35
357.96;79
358.35;58
358.74;212
359.13;78
359.52;81
359.91;28
360.3;169
360.69;93
361.08;51
361.47;0
361.86;1
362.24;65
362.63;67
363.02;2
363.41;186
363.8;193
364.19;59
364.58;128
364.97;78
365.36;29
365.75;114
366.14;3
366.53;95
366.92;21
367.3;0
367.69;153
368.08;19
368.47;5
368.86;0
369.25;0
369.64;113
370.03;312
370.42;22
370.81;81
371.19;21
371.58;36
371.97;0
372.36;9
372.75;77
373.14;0
373.53;5
373.92;107
374.3;22
374.69;190
375.08;83
375.47;163
375.86;61
376.25;45
376.64;36
377.02;35
377.41;89
377.8;57
378.19;9
378.58;62
378.97;139
379.36;0
379.74;143
380.13;37
380.52;193
380.91;179
381.3;11
381.69;147
382.07;0
382.46;50
382.85;79
383.24;112
383.63;0
384.01;0
384.4;67
384.79;138
385.18;12
385.57;53
385.96;45
386.34;46
386.73;218
387.12;110
387.51;205
387.9;4
388.28;115
388.67;154
389.06;42
389.45;104
389.83;96
390.22;0
390.61;27
391;47
391.39;72
391.77;63
392.16;94
392.55;54
392.94;34
393.32;48
393.71;76
394.1;113
394.49;136
394.87;89
395.26;68
395.65;108
396.04;62
396.42;55
396.81;83
397.2;91
397.59;101
397.97;106
398.36;159
398.75;6
399.14;2
399.52;61
399.91;53
400.3;31
400.68;135
401.07;0
401.46;38
401.85;103
402.23;0
402.62;81
403.01;45
403.39;0
403.78;65
404.17;77
404.55;22
404.94;20
405.33;35
405.71;62
406.1;128
406.49;63
406.88;40
407.26;0
407.65;13
408.04;49
408.42;0
408.81;58
409.2;0
409.58;1
409.97;1
410.36;400
410.74;30
411.13;4
411.51;31
411.9;124
412.29;29
412.67;16
413.06;211
413.45;93
413.83;106
414.22;100
414.61;74
414.99;126
415.38;26
415.76;94
416.15;0
416.54;35
416.92;118
417.31;125
417.7;98
418.08;61
418.47;83
418.85;8
419.24;6
419.63;94
420.01;95
420.4;91
420.78;0
421.17;0
421.55;72
421.94;69
422.33;45
422.71;0
423.1;108
423.48;33
423.87;0
424.25;4
424.64;39
425.03;165
425.41;0
425.8;22
426.18;44
426.57;29
426.95;46
427.34;0
427.72;112
428.11;84
428.5;6
428.88;0
429.27;40
429.65;90
430.04;60
430.42;110
430.81;114
431.19;16
431.58;0
431.96;17
432.35;1
432.73;131
433.12;70
433.5;129
433.89;7
434.27;33
434.66;156
435.04;128
435.43;212
435.81;0
436.2;38
436.58;67
436.97;260
437.35;0
437.74;0
438.12;47
438.51;78
438.89;15
439.28;148
439.66;40
440.05;45
440.43;28
440.81;118
441.2;23
441.58;97
441.97;81
442.35;135
442.74;129
443.12;88
443.51;0
443.89;26
444.27;430
444.66;228
445.04;57
445.43;68
445.81;70
446.2;85
446.58;44
446.96;77
447.35;46
447.73;51
448.12;52
448.5;73
448.88;0
449.27;47
449.65;126
450.04;141
450.42;166
450.8;0
451.19;106
451.57;67
451.95;91
452.34;0
452.72;124
453.11;58
453.49;98
453.87;105
454.26;99
454.64;62
455.02;66
455.41;141
455.79;64
456.17;130
456.56;82
456.94;0
457.32;0
457.71;7
458.09;265
458.47;89
458.86;111
459.24;18
459.62;115
460.01;12
460.39;0
460.77;11
461.16;34
461.54;7
461.92;10
462.31;63
462.69;69
463.07;152
463.45;30
463.84;0
464.22;0
464.6;44
464.99;23
465.37;0
465.75;19
466.13;39
466.52;88
466.9;19
467.28;51
467.66;131
468.05;21
