Wavelength;%TR #1
162.83;0
163.22;0
163.62;0
164.01;0
164.41;0
164.81;0
165.2;0
165.6;0
165.99;0
166.39;0
166.79;0
167.18;0
167.58;0
167.97;0
168.37;0
168.77;0
169.16;0
169.56;237.5
169.95;0
170.35;0
170.75;0
171.14;0
171.54;0
171.93;0
172.33;0
172.72;266.6667
173.12;0
173.52;0
173.91;0
174.31;0
174.7;0
175.1;119.5876
175.5;27.1186
175.89;0
176.29;0
176.68;18.6047
177.08;0
177.48;0
177.87;59.6774
178.27;56.1644
178.66;31.0078
179.06;33.9623
179.45;20.9091
179.85;29.0698
180.25;86.3158
180.64;54.3689
181.04;16.3121
181.43;32.4074
181.83;21.8978
182.22;0
182.62;70.3704
183.02;21.1538
183.41;97.0149
183.81;21.2291
184.2;97
184.6;125.9615
184.99;86.8132
185.39;15.7233
185.79;34.4444
186.18;54.7945
186.58;0
186.97;0
187.37;0
187.76;47.0588
188.16;0
188.56;90.3846
188.95;83.3333
189.35;6.6116
189.74;62.8205
190.14;61.1111
190.53;0
190.93;38.1443
191.32;38.3838
191.72;34.6154
192.12;0
192.51;17.0543
192.91;41.6667
193.3;67.7419
193.7;20.3125
194.09;0
194.49;110
194.88;45.8333
195.28;76.7296
195.68;52.1739
196.07;0
196.47;73.8318
196.86;0
197.26;0
197.65;0
198.05;167.5676
198.44;45.8333
198.84;76.9231
199.23;86.6667
199.63;6.1404
200.02;0
200.42;0
200.82;16.129
201.21;0
201.61;50.6494
202;2.1505
202.4;39.1667
202.79;14.1732
203.19;0
203.58;0
203.98;0
204.37;103.5714
204.77;13.3333
205.16;54.6392
205.56;0
205.95;50.4348
206.35;50
206.75;0
207.14;24.1071
207.54;0
207.93;12.4031
208.33;26
208.72;10.9756
209.12;27.9279
209.51;0
209.91;94.0299
210.3;47.561
210.7;44.4444
211.09;0
211.49;30.5263
211.88;0
212.28;0
212.67;36.1111
213.07;0
213.46;6.6667
213.86;15
214.25;200
214.65;24.0741
215.04;8.9744
215.44;35.1064
215.83;0
216.23;0
216.62;0
217.02;35.7143
217.41;67.0588
217.81;27.8481
218.2;11.3636
218.6;64.4068
218.99;39.8438
219.39;44.2623
219.78;2.8571
220.18;38.7755
220.57;70
220.97;7.5269
221.36;0
221.76;0
222.15;0
222.55;25.9036
222.94;0
223.34;42.268
223.73;79.5455
224.13;50.3876
224.52;0
224.92;4.4776
225.31;47.8261
225.71;0
226.1;0
226.49;43.3333
226.89;48.6486
227.28;2.3121
227.68;0
228.07;8.3333
228.47;35.9375
228.86;0
229.26;0
229.65;2.2059
230.05;0
230.44;0
230.84;8.046
231.23;0
231.63;71.5596
232.02;44.4444
232.41;4.3103
232.81;0
233.2;0
233.6;0
233.99;33.8164
234.39;0
234.78;150
235.18;0
235.57;0
235.97;0
236.36;46.7391
236.75;14.2857
237.15;10
237.54;0
237.94;25.5102
238.33;0
238.73;37.5
239.12;0
239.52;0
239.91;0
240.3;0
240.7;7.6087
241.09;0
241.49;0
241.88;0
242.28;0
242.67;0
243.06;0
243.46;68.9655
243.85;0
244.25;0
244.64;0
245.04;37.1429
245.43;59.6491
245.82;22.7273
246.22;0
246.61;0
247.01;0
247.4;0
247.79;13.8211
248.19;0
248.58;0
248.98;42.2222
249.37;0
249.77;0.9091
250.16;0
250.55;13.1783
